tweet_id,fecha_reply,reply_id,texto,likes,retweets,replies,gender,usuario,;;
1902735022223757707,20/03/2025 19:40:00,21,En serio Presidente valía la pena un tweet para decir esto ??? Vale la pena que un jefe de estado irrespete a los ciudadanos ? Vale la pena que construyamos un país desde la descalificación personal y generemos más odio ??                                                                                                                                                                             No lo creo !! Creo que la dignidad de un jefe de estado da para mucho más magnanimidad y altura,4700,1100,217,male,@jrestrp,;;
"1902735022223757707,21/03/2025 9:23:00,22,""Eso es falso. Si leer quitara lo bestia usted no saldría con tanta bestialidad.                                                                                                                                                          Porque, pa’ qué, a usted se le nota que lee, pero también se le nota que no entiende lo que lee."",1600,473,50,male,@millersoto,";;
"1902735022223757707,20/03/2025 11:12:00,23,""Si los Petristas leyeran,  usted no sería presidente."",1600,248,21,male,@EstebanMerchan7,";;
"1902735022223757707,20/03/2025 10:04:00,24,""Esto no parece un comentario de un presidente, sino de un activista experto en bullyng! Presidente, es un irrespeto su trato despectivo con el senador @JAlirioBarreraR y además es un irrespeto con el campesinado que anda a caballo y en burro y eso no significa bestialidad."",1100,204,38,female,@dianadiago,";;
1902735022223757707,20/03/2025 14:44:00,25,¿De qué bestia hablamos?                                                                                                                                                                                                                                            ¿De la que está encima del caballo?                                                                                                                                                                                                                                            https://pbs.twimg.com/media/GmgiPg9X0AAyOYa?format=jpg&name=360x360,991,159,46,female,@julipalacioc,;;
1902735022223757707,20/03/2025 14:31:00,26,Genéticamente se lee como “XY” no como “XX”                                                                                                                                                                                                              Esta es la BESTIA que lo “MONTA A USTED”                                                                                                                                                                                                                 Quien es más bruto? https://pbs.twimg.com/media/GmgfTuBXEAA_dG4?format=jpg&name=medium,655,206,18,male,@elcuchoantic,;;
"1902735022223757707,20/03/2025 18:51:00,27,""Estudiar no asegura humanidad!!                                                                                                                                                                                                          Usted hampón @petrogustavo es ejemplo de ello, es profesional y fue un asesino del m19 que hacia sus necesidades fisiologicas encima de los secuestrados, por eso le decían “el cacas”… usted es una bestia sanguinaria, indigno, bruto y mortífero!!"",593,212,19,male,@Setulus1,";;
"1902735022223757707,20/03/2025 10:09:00,28,""Increíble leer estas cosas de un presidente... Gustavo Caligula está bastante mal de la cabeza. Es un neurótico, psicótico, megalomano, resentido y con un enorme complejo de inferioridad. Ya cruzó el umbral y ahora es un malparido gusano que se ganó su lugar como el peor..."",852,62,82,male,@ScaramangaFra,";;
"1902735022223757707,20/03/2025 10:07:00,29,""Solo basta leer la Reforma Laboral para entender que no solucionaba el principal problema del mercado laboral, que es la gran informalidad y desempleo. No existe ningún incentivo para que las empresas contraten más, solo más gastos para las empresas.                                                                                                                 ¿Qué pasa cuando el precio de un bien incrementa? Pues que su demanda disminuye. Esta reforma solo ayuda a reducir la demanda de trabajo formal, llevando a que se incremente el informal.";;
;;
