fecha,tweet_id,texto,likes,retweets,replies,usuario
2025-03-15 00:24:22+00:00,1900704591303340432,"El martes 18 de marzo, 18M, será día cívico, nadie podrá despedir a quien vaya a las calles a movilizarse por sus derechos laborales y del trabajo.

El 18M es el día primero de la consulta popular. https://t.co/SrTcycAkfg",7996,3124,2968,@petrogustavo
2025-04-28 12:44:28+00:00,1916835909359620314,"Esto sucedió en el Club el Nogal de Bogotá: así reaccionaron estas personas ante la presencia de Daniel Quintero ex alcalde de Medellín por voto popular. La indiamenta de una clase alta que se cree aristocrática y olvida sus propios ancestros.

A esto se le llama arribismo y el",9638,4000,2964,@petrogustavo
2025-03-17 16:17:39+00:00,1901669268774674643,"Chateos empresariales, de patrones y esclavistas.

Hombres del mal y la codicia. No saben que Colombia nació de la rebeldía. Nació contra las cadenas gritando libertad. https://t.co/yj1I0biRgg",7474,2302,2947,@petrogustavo
2025-05-01 21:37:18+00:00,1918057165782176184,"La espada desenvainada, hoy guía al pueblo hacia la consulta y la justicia social. https://t.co/JXcoPIJ2Fd",14650,2970,2942,@petrogustavo
2025-04-16 18:33:16+00:00,1912575034922590426,"Hay una lista negra de opositores en Ecuador que están siendo perseguidos. El gobierno de Colombia le dará asilo a todo el que llegue a territorio colombiano.

Han sido detenidos observadores electorales colombianos https://t.co/CLByGRxszH",7611,3752,2908,@petrogustavo
2025-04-26 22:28:31+00:00,1916258115487441314,"Vienen los vampiros, pero los vampiros desaparecen ante el sol, Georgieva",7057,1767,2872,@petrogustavo
2025-04-22 04:48:16+00:00,1914541744269484403,"Este primero de mayo el pueblo de Colombia sale a la calle a todas las plazas públicas a entregar al senado el texto de la Consulta popular

Presentaré ante el pueblo la espada de Bolívar desenvainada que nos guiará a ganar el Sí en la Consulta. Vamos por la Gran Clombia https://t.co/gmDWSeeBWx",10147,3780,2831,@petrogustavo
2025-03-26 22:33:30+00:00,1905025346413457811,"Hoy nos vemos a las siete, si no nos censuran, en su TV. https://t.co/G5g1fmoV6c",10136,2437,2756,@petrogustavo
2025-03-17 14:47:54+00:00,1901646680874680753,"Qué manera de mentir, de volver contra los justos la mentira.
Acaso no saben que las EPS para mantener sus negocios sucios por encima de la vida, están acaparando los medicamentos, hay necesidad de ir a sus bodegas y mostrar las cajas de medicinas que no entregan? https://t.co/KbTDcaVxtF",5299,2878,2727,@petrogustavo
2025-03-24 01:57:13+00:00,1903989449979011228,"Las verdaderas fotos. Con tecnología¹ falsearon fotos en redes para poner una trampa y desacreditar al gobierno.

Yo juré defender al pueblo y lo estoy haciendo. Y la verdad es revolucionaria, lo mismo que la paz.

Estamos rodeados de porquería, pero el pueblo puede limpiar.  Los https://t.co/fiD6JKghJB",10290,4821,2666,@petrogustavo
2025-04-19 15:11:31+00:00,1913611424888160492,"En esta foto de García Márquez y Jaime Bateman, fundador del Movimiento 19 de abril, M19, se resume una corriente de la sociedad colombiana que partiendo de Bolívar y Nariño, pasa por el general Melo, el general Rafael Uribe Uribe, López Pumarejo, Gaitán, y llega hasta nuestros https://t.co/dXfpwzk52K",7483,2621,2600,@petrogustavo
2025-04-21 13:46:21+00:00,1914314767935610998,"Se me fue un gran amigo. Me siento algo solo.

Comprendió perfectamente su papel como líder espiritual en la gran lucha por la vida. En las causas codiciosas de la extinción.

Sus encíclicas pasarán a la historia si somos capaces de construir una humanidad que defienda su mayor https://t.co/o8WjFLKsol",18451,4386,2598,@petrogustavo
2025-03-18 20:07:16+00:00,1902089441151480212,"Si el pueblo es traicionado, el que se va es el traidor, no el pueblo. https://t.co/6hYe2Nkw6Y",17189,5414,2589,@petrogustavo
2025-04-21 00:06:25+00:00,1914108424251465971,"Le solicito a @FiscaliaCol y a @PoliciaColombia abrir investigación judicial sobre esta red dirigida por el asesino @Lykanista, construida para amenazar de muerte a progresistas en la red, incluido al presidente de la República.

La red está vinculada a la senadora Cabal. https://t.co/jv2heBhlcW",8765,4530,2521,@petrogustavo
2025-04-30 02:47:59+00:00,1917410573639176643,A la Consulta este 1 de Mayo https://t.co/Bo0e6KhJfD,19440,4864,2503,@petrogustavo
2025-04-23 00:22:17+00:00,1914837195057136108,"Este primero de mayo, millones de colombianos y colombianas en las plazas públicas, presentamos estas preguntas al Senado de la República, para que apruebe la Consulta Popular con ellas.

Analícelas, le propongo darle SÍ a todas. https://t.co/Jis7715cFH",10135,4239,2455,@petrogustavo
2025-03-17 13:45:35+00:00,1901631000519864724,"Precisamente para trabajar hay que parar. Alcaldes de la miseria qué dejan a sus ciudades sin agua.

Que prefieren golpear débiles habitantes de calle y vendedores ambulantes que frenar a los voracez especuladores de la tierra y el agua.

Alcaldes de la muerte que no saben https://t.co/DF8CmORSx8",8208,2601,2445,@petrogustavo
2025-03-18 17:26:21+00:00,1902048946769555870,La consulta popular va. https://t.co/3YAuz6aJsa,21387,4771,2425,@petrogustavo
2025-04-27 18:08:40+00:00,1916555108722082031,"""Que nuestro comandante es el pueblo"" Carlos Pizarro https://t.co/b6MBroGl9M",8001,2452,2421,@petrogustavo
2025-04-16 00:15:47+00:00,1912298841325597115,"Voy a decretar la emergencia económica, después de la sanitaria. Pero no por lo que dicen los contrabandistas, lavadores y petroleros que son los que vienen dominando la política económica de Colombia, sino por algo simple y contundente: LA VIDA.

Estamos de nuevo ante un virus. https://t.co/DJH4NbsZ9o",5714,2350,2407,@petrogustavo
2025-04-15 17:00:30+00:00,1912189300315419028,"Que se le puede decir a  ""Fico"", no tengo otra palabra que ignorante. 

Solo le aconsejaría leer un poco más.
 https://t.co/HnZ1D18Pir",20863,7352,2398,@petrogustavo
2025-04-27 20:40:22+00:00,1916593283620585794,"Una comisión independiente, debe examinar de inmediato las circunstancias del ataque al ejército en el Guaviare, examinado desde los contenidos de la decisión de disminuir el cese al fuego, que se tomó con los frentes bajo órdenes de ""Calarcá"".

Soy responsable de la vida de cada",3883,1770,2380,@petrogustavo
2025-04-30 00:56:21+00:00,1917382481969373349,"Al lado de la exposición de García Márquez, esta el salón de la Revolución en la casa de Nariño. Aquí la sotana dd sacerdote Camilo Torres Restrepo, caído en combate. Medicina Legal logró comprobar clientíficamente, su pertenencia a traves del examen del ADN de la madre de https://t.co/fQ5TbVP3II",4666,1412,2369,@petrogustavo
2025-03-17 19:09:03+00:00,1901712403936530840,Grita corrupción la que tiene el alma podrida. https://t.co/CxLnxWFmH1,15085,3446,2341,@petrogustavo
2025-03-17 14:14:12+00:00,1901638201615282222,"Adelante. Somos grandes y poderosos cuando nos ayudamos, cuando somos más de uno. https://t.co/ThJrI04HWm",13866,3565,2339,@petrogustavo
2025-04-25 22:27:09+00:00,1915895384666476780,"Señores de la oligarquía, su tiempo terminó. No insistan. 

¡No pasarán!

https://t.co/iNnehN6rED",11090,4321,2271,@petrogustavo
2025-04-28 20:37:09+00:00,1916954864480870614,"Los indígenas no son obstáculo al conocimiento, al contrario, hay que ser nulo de razón, para no saber que la fuente del conocimiento del mundo, está en los saberes ancestrales. Pareciera que los que discriman a los indígenas gritaran como en la universidad de Salamanca"" !Muera https://t.co/l14UTM10w8",5700,2216,2268,@petrogustavo
2025-03-15 04:00:58+00:00,1900759098737455462,"Ya no es a luchar por mi, ahora es a luchar por ustedes. 

Este 18 de marzo, en el primer día de la consulta popular https://t.co/buAlDYqaSK",11469,4732,2227,@petrogustavo
2025-04-26 06:36:53+00:00,1916018629277102191,"Hoy es 26 de abril, y en un día como hoy, asesinaron al comandante del M19 y candidato presidencial, Carlos Pizarro. Hoy envío este mensaje al comandante, esté donde esté:

Te mataron por hacer la paz para Colombia. Porque querías los vientos de la democracia en la Gran Colombia.",5801,2264,2226,@petrogustavo
2025-04-06 12:01:50+00:00,1908852648087892469,"RTVC se gana el premio India Catalina al mejor noticiero de Colombia

 Buscar la verdad es periodismo

Por eso lo quieren acallar los que ven en una noticia una oportunidad de falseamiento o hacen de la verdad una mercancía

Felicitaciones a Hollman Morris https://t.co/Bfw9OoDJfn",6834,2286,2160,@petrogustavo
2025-03-24 05:27:54+00:00,1904042468062146755,"Y para terminar la noche dejo esta canción hermosa que me dedicaron.  ¿A cuántos presidentes le pasó lo mismo?

https://t.co/ShAZLYC7PZ",5514,2203,2159,@petrogustavo
2025-03-18 17:37:03+00:00,1902051635884339589,"Plaza de Bolivar llena y la séptima repleta. El pueblo ha sido convocado, espero que los representantes del pueblo en el Congreso, cumplan su deber.

Como ordena la constitución le corresponde al pueblo decidir https://t.co/pMRfM3YARz",19297,6065,2147,@petrogustavo
2025-03-17 13:17:24+00:00,1901623908186411355,"A las calles por el simple derecho de vivir bien.

Hoy no sales a defender a Petro, hoy sales a defenderte a ti misma. https://t.co/pU7kCmoMCs",13183,4140,2147,@petrogustavo
2025-03-27 12:19:32+00:00,1905233223774248999,"Si esta señora es la decana de la facultad de ciencias económicas de la u javeriana, facultad donde hice mis estudios de maestría en economía, no quise presentar tesis porque me exigían un estudio econométrico, y no creo en la econometria como método de investigación económica; https://t.co/axvcYA2ani",4737,2084,2143,@petrogustavo
2025-03-31 13:20:56+00:00,1906698226972917802,"Veo gente en los poderes públicos y en la delincuencia buscando censurame, por doquier. No diga esto, rectifique, retráctese, etc. No transmita. No hable. Quieren silenciar, así de simple, la palabra, que es la base de la política, del logos y el pensar y del dialogo. 

Me gusta",11329,4856,2141,@petrogustavo
2025-03-17 15:36:55+00:00,1901659015244849663,"Ay mis vientos del Caribe. Ay de las mariposas amarillas, que mañana vuelen todas a bañar de magia mi Colombia.

Que finalicen los cien años de soledad, que haya otra oportunidad a las extirpes condenadas.

Quizás sea el último de los aurelianos. https://t.co/TBefWZ1tmq",6754,2322,2139,@petrogustavo
2025-04-25 21:08:02+00:00,1915875474145771612,"Hermanos de @ELTIEMPO, se que les dolió el que su propietario nos devuelva los dos billones del pueblo que tienen guardados en su fideicomiso por la carretera que no hicieron; pero no hay necesidad de prender la violencia 

Igual que hay mucho HP, (Honorables periodistas), https://t.co/E3yJ3QTSmD",14188,5019,2113,@petrogustavo
2025-03-17 22:12:16+00:00,1901758509361844684,"Los decretos del gobierno nacional se respetan o se respetan porque son la voz del pueblo.

Los mejores jueces son los que permiten que la gente se exprese en libertad, porque expresarse es un derecho y el mayor derecho es a ser libres de espíritu y de cuerpo.

El mejor juez es https://t.co/E8ICQEGlVo",5028,2012,2100,@petrogustavo
2025-04-18 20:23:34+00:00,1913327567760732234,"Recuerden no es el empresario el que da empleo, es la y el trabajador el que da riqueza.

El microempresario, es en realidad el trabajador de su propia empresa.
 https://t.co/0NfXFhtvhF",7427,3273,2095,@petrogustavo
2025-04-23 22:37:42+00:00,1915173262335893788,"Es tan vulgar el escritor que olvidó decirles que en una visita oficial de un jefe de estado a Francia, siempre hay protección fisica directa y permanente del servicio secreto francés. Simplemente he sido calumniado. https://t.co/jVYhxQl6LE",8655,3559,2089,@petrogustavo
2025-03-20 15:00:18+00:00,1902736967902617711,"La consulta popular la autoriza la constitución, art 104

La consulta da poder al pueblo, que es poder de decisión. Se le llama a eso democracia

Las multitudes del 18M cambiaron todo. No solo por la cantidad de gente, sino porque hay otro espíritu en el pueblo: la decisión. https://t.co/MF7wgkTZgv",6726,2538,2061,@petrogustavo
2025-04-30 11:26:07+00:00,1917540967432781852,El As del Pueblo: Consulta Popular. https://t.co/3FMKjhpp7J,6796,2260,2052,@petrogustavo
2025-03-26 22:37:32+00:00,1905026359308509450,"Esto es violar la constitución.
Al presidente de la república no lo investiga la fiscalía. https://t.co/hBensAeE8M",6140,2274,2045,@petrogustavo
2025-04-18 14:24:54+00:00,1913237304333709618,Que le mandan esto a la senadora Cabal desde el Japón https://t.co/LA0Q6cWqsx,15928,5260,2020,@petrogustavo
2025-03-24 00:46:46+00:00,1903971718915338664,"Este es el documento oficial que la auditoría del gobierno hizo a Audifarma en las bodegas de la sabana occidental.

Han hecho todos los procedimientos tecnológicos para que no sea transmitida y tomada por la prensa como la prueba.

Los funcionarios no fueron a revisar la https://t.co/IP2lhvIJnP",10722,5508,2019,@petrogustavo
2025-04-01 14:54:34+00:00,1907084177364705621,"Muy interesante, mientras la mamá es la asesora de la líder del movimiento más extremo de oposición; la hija, que es miembro de la Junta directiva del Banco de la República, no permite que baje la tasa de interés de la economía, buscando que el gobierno, al que la mamá se opone,",9934,4634,1995,@petrogustavo
2025-05-01 20:36:34+00:00,1918041881591648262,"He llegado con el pueblo, con la espada, de Bolívar, le solicito al senado de la República, apoyar la consulta popular que hoy presentamos https://t.co/Hye9JG9zfm",15488,4862,1974,@petrogustavo
2025-03-29 01:06:31+00:00,1905788627650572375,"Ellos son compañeros y compañeras panameñas de la época de Jaime Bateman y colaboraron con el M19; y varios de sus familiares murieron

Murieron los maquinistas del barco ""Karina"", que estuvo en el primer y último combate naval del M19, qué eran panameños.

Murió Martinelli, https://t.co/0nfcti8cq4",4296,1703,1972,@petrogustavo
2025-03-23 01:49:45+00:00,1903625179202277872,"En estos días la perfidia compañera de la codicia ha estallado al máximo.

Mi papá tiene 90 años, se ha caído 3 veces con hospitalización, los médicos solicitaron que lo cuidara una enfermera, un anónimo al servicio de la perfidia prohibió que la enfermera entrará al edificio",7472,3450,1966,@petrogustavo
2025-03-22 15:16:41+00:00,1903465865485410546,"Este podría ser un buen himno para la revolución colombiana que quiero comience como respuesta a la tiranía y el engaño

Es un himno moderno de puños cerrados y multitudes unidas. Los elementos fundamentales de toda revolución. Dale un RT revolucionario

https://t.co/Nw4y01NlUn",3994,2141,1958,@petrogustavo
2025-04-22 14:33:30+00:00,1914689019188830278,"Nos quieren hacee pensar solo lo que piensan los 5 hombres más ricos de Colombia; solo que ellos piensan con los bolsillos llenos,y la mayoría de Colombianos, ya no tienen ni bolsillos. https://t.co/rvAd0OhSlQ",11760,4987,1954,@petrogustavo
2025-03-26 20:07:29+00:00,1904988599621198045,"Que quede en la memoria de todo(a)s los colombianos. Estos congresistas fueron a buscar la destrucción de la tranquilidad económica y democrática de Colombia.

Con EEUU habrá una buena relación de tu a tu, respetándose entre las partes. No se necesitan Cipayos https://t.co/5IYBotSqKG",12709,5218,1952,@petrogustavo
2025-04-27 18:24:57+00:00,1916559206242767155,"Le solicito al gobernador de Antioquia que haga que todos los requisitos para el proyecto de Puerto Antioquia de tipo ambiental y social se cumplan. Es la ley y deben cumplirla. Los municipios de Urabá deben recibir parte de las utilidades del puerto, y los permisos del uso del",9785,3799,1911,@petrogustavo
2025-03-28 11:44:08+00:00,1905586702820720803,"Para ellos es normal que la escombrera en Medellín se llene de cadáveres y que caigan asesinados 6402 jovenes inocentes por balas oficiales.

Con razón nos llaman locos porque defendemos la vida. https://t.co/1dXTnVcBzF",7948,3213,1897,@petrogustavo
2025-04-19 18:01:44+00:00,1913654262032195979,"No he dejado de cuidar mi coherencia. Bateman decía que el pueblo puede perdonar los errores, pero jamás perdonará la incoherencia. https://t.co/tSj4UCGUyF",5904,2049,1866,@petrogustavo
2025-03-26 14:19:27+00:00,1904901011732394188,"Expresidente Duque a mi me tocó pagar las deudas que usted dejó cuando luchó un poco mal contra la pandemia. Fuimos la sexta peor tasa de mortalidad por covid de América latina

Pero le informo, logré pagar en mi gobierno hasta el último peso que usted dejó de deuda al servicio https://t.co/vif0EtL2Qg",14975,4869,1856,@petrogustavo
2025-04-17 21:54:59+00:00,1912988185233363387,"A mi no me interesa el fracaso total, me interesa la Paz Total.

La guerra es el fracaso total. Pero mi amor personal y estratégico por la paz, no debe tomarse como ingenuidad. Se equivocan si lo piensan.

Catatumbo debe ser una zona de paz y de unión entre dos pueblos, una zona",5918,2500,1849,@petrogustavo
2025-04-25 17:19:47+00:00,1915818030225100855,"Hoy es 25 de abril, otra revolución de abril, dia de la liberación de Italia con ayuda armada del pueblo italiano: los partisanos de la Libertad: católicos, socialistas, anarquistas y comunistas unidos, que acabaron con el fascismo de Mussolini y Hitler. 

Yo soy ciudadano",3694,1444,1813,@petrogustavo
2025-03-19 04:53:33+00:00,1902221884999036993,"Creen que estamos locos porque luchamos por que las mujeres sean tratadas con dignidad en los puestos de trabajo.

Definitivamente el esclavismo nunca ha abandonado sus almas. https://t.co/tMkcC8m3hN",7224,2394,1808,@petrogustavo
2025-04-29 21:26:19+00:00,1917329623697760330,"Los ricos más ricos de Colombia pasaron sus fortunas de 22.000 millones de dólares a 35.000 millones entre 2023 y 2024. 

Pero al proponérseles una reforma tributaria que permita que una parte pequeña de esas utilidades resuelva el déficit fiscal, los ha llevado al insulto https://t.co/2MNoruWMNX",6290,3465,1773,@petrogustavo
2025-03-29 15:26:11+00:00,1906004969712456125,"No habrá abusos de tiempo y buscaré rotar los días de transmisión en cadena televisiva, para temas publicos de gran importancia para la sociedad colombiana.

Los consejos de ministros que tengan menos importancia o sean de procedimiento, solo se transmitirán por el canal público. https://t.co/SLjPP8tFnq",10707,4159,1743,@petrogustavo
2025-03-25 01:36:24+00:00,1904346595463737403,"No es odio. Entre los dos solo usted odia, Uribe.

No hay odio de clases, hay lucha de clases, qué es diferente, y desde que existen clases sociales en el mundo, y ese es el motor de la historia.

Uste odia a los trabajdores, por eso les bajó el salario y subió la jornada https://t.co/4CsIAuVZDO",9608,4015,1743,@petrogustavo
2025-04-21 01:01:42+00:00,1914122338473238538,"Ayer vimos a nuestros funcionarios encargados de la sustitución de cultivos en el Catatumbo, baleados por los ejercitos privados de la mafia, y se salvaron por su carro blindados; y, hoy, quisieron envenenar a la ministra de comercio, en Montería, con dulces envenenados que le https://t.co/Qlsw2nDhEU",6270,3479,1738,@petrogustavo
2025-03-14 21:50:56+00:00,1900665977731448878,La primera pregunta que se hará en la consulta popular es si el día termina a a las 6 pm de la tarde. https://t.co/4FD5VzIL7v,12094,2148,1736,@petrogustavo
2025-03-17 15:38:42+00:00,1901659467105587522,Hombres del arte. Hombres sabios. Cuanta sabiduría necesita colombia de hombres y mujeres libres. https://t.co/WhBE3tk6Zf,11221,4286,1710,@petrogustavo
2025-03-15 04:07:47+00:00,1900760815847825715,"Hermano y hermanos colombianos es la hora de la esperanza. Aquí nadie debe temer, por que transformar a Colombia y abrir las oportunidades es nuestro destino.

Esperanza, mucha esperanza.
El 18 de marzo a las calles.

Ayúdanos con un RT al video. https://t.co/FqyUscUKIQ",12938,7185,1689,@petrogustavo
